ID,Title,Description,Actors,Genre
tt27714581,Sentimental Value,"An intimate exploration of family, memories, and the reconciliatory power of art.","['Renate Reinsve', 'Stellan Skarsgård', 'Inga Ibsdotter Lilleaas']",['Drama'],
tt14364480,Wake Up Dead Man,Detective Benoit Blanc teams up with an earnest young priest to investigate a perfectly impossible crime at a small-town church with a dark history.,"['Daniel Craig', ""Josh O'Connor"", 'Glenn Close']","['Crime', 'Drama']",
tt1312221,Frankenstein,"Dr. Victor Frankenstein, a brilliant but egotistical scientist, brings a creature to life in a monstrous experiment that ultimately leads to the undoing of both the creator and his tragic cr... Read all","['Oscar Isaac', 'Jacob Elordi', 'Christoph Waltz']","['Drama', 'Horror']",
tt33305882,A Great Awakening,One of the most defining moments in American history is the story of an unlikely friendship between the Reverend George Whitefield and Benjamin Franklin.,"['John Paul Sneed', 'Jonathan Blair', 'JT Schaeffer']",['Drama'],
tt7708226,Beast,"MMA legend Patton James, now a commercial fisherman, is pulled back into the cage when his brother is in danger. Reuniting with his old coach Sammy, he commits to one final fight in ONE Cham... Read all","['Russell Crowe', 'Mojean Aria', 'Daniel MacPherson']","['Action', 'Drama']",
tt0068646,The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"['Marlon Brando', 'Al Pacino', 'James Caan']","['Crime', 'Drama']",
tt33714084,Reminders of Him,"After prison, a woman attempts to reconnect with her young daughter but faces resistance from everyone except a bar owner with ties to her child. As they grow closer, she must confront her p... Read all","['Maika Monroe', 'Tyriq Withers', 'Zoe Kosovic']",['Drama'],
tt0120737,The Lord of the Rings: The Fellowship of the Ring,A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"['Elijah Wood', 'Ian McKellen', 'Orlando Bloom']","['Adventure', 'Drama']",
tt31969779,O' Romeo,"In post-independence Mumbai, the underworld rises amidst a changing city. This gritty tale explores the criminal landscape of a bygone era, weaving through the streets and shadows of India's... Read all","['Shahid Kapoor', 'Triptii Dimri', 'Avinash Tiwary']","['Action', 'Crime', 'Drama']",
tt0335345,The Passion of the Christ,"Depicts the final twelve hours in the life of Jesus of Nazareth, on the day of his crucifixion in Jerusalem.","['Jim Caviezel', 'Monica Bellucci', 'Maia Morgenstern']",['Drama'],
tt16311594,F1: The Movie,A Formula One driver comes out of retirement to mentor and team up with a younger driver.,"['Brad Pitt', 'Damson Idris', 'Javier Bardem']","['Action', 'Drama']",
tt4627382,Roofman,"A charismatic criminal, while on the run from the police, hides in a hidden space of a toy store. There, he adopts a new identity and becomes involved with an employee, beginning a relations... Read all","['Channing Tatum', 'Kirsten Dunst', 'LaKeith Stanfield']","['Crime', 'Drama']",
tt15239678,Dune: Part Two,Paul Atreides unites with the Fremen while on a warpath of revenge against the conspirators who destroyed his family. Facing a choice between the love of his life and the fate of the univers... Read all,"['Timothée Chalamet', 'Zendaya', 'Rebecca Ferguson']","['Action', 'Adventure', 'Drama', 'Sci-Fi']",
tt29768334,Train Dreams,"Based on Denis Johnson's beloved novella, Train Dreams is the moving portrait of Robert Grainier, a logger and railroad worker who leads a life of unexpected depth and beauty in the rapidly-... Read all","['Joel Edgerton', 'Clifton Collins Jr.', 'Felicity Jones']",['Drama'],
tt3659388,The Martian,"An astronaut becomes stranded on Mars after his team assumes him dead, and must rely on his ingenuity to find a way to signal to Earth that he is alive and can survive until a potential resc... Read all","['Matt Damon', 'Jessica Chastain', 'Kristen Wiig']","['Adventure', 'Drama', 'Sci-Fi']",
tt0468569,The Dark Knight,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']","['Action', 'Crime', 'Drama']",
tt27200708,Mother Mary,"Long-buried wounds rise to the surface when iconic pop star Mother Mary reunites with her estranged best friend and former costume designer, Sam Anselm, on the eve of her comeback performanc... Read all","['Anne Hathaway', 'Michaela Coel', 'Hunter Schafer']",['Drama'],
tt1764551,Psycho Killer,"A police officer tracks a killer after her husband, a highway patrolman, becomes one of his victims.","['Georgina Campbell', 'James Preston Rogers', 'Malcolm McDowell']","['Crime', 'Drama', 'Horror']",
tt1160419,Dune: Part One,"Paul Atreides arrives on Arrakis after his father accepts the stewardship of the dangerous planet. However, chaos ensues after a betrayal as forces clash to control melange, a precious resou... Read all","['Timothée Chalamet', 'Rebecca Ferguson', 'Zendaya']","['Action', 'Adventure', 'Drama', 'Sci-Fi']",
tt1527793,No Other Choice,"After being fired, a man devises a unique plan to secure a new job: eliminate his competition.","['Lee Byung-hun', 'Son Ye-jin', 'Woo Seung Kim']","['Crime', 'Drama']",
tt36042156,The Punisher: One Last Kill,"As Frank Castle searches for meaning beyond revenge, an unexpected force pulls him back into the fight.","['Jon Bernthal', 'Chelsea Brea', 'Colton Hill']","['Action', 'Adventure', 'Crime', 'Drama']",
tt38365045,Mudborn,A video-game designer's will is tested when a mysterious spirit infiltrates his new family and threatens the life of his expecting wife.,"['Yo Yang', 'Cecilia Choi', 'Derek Chang']","['Drama', 'Horror']",
tt15398776,Oppenheimer,"A dramatization of the life story of J. Robert Oppenheimer, the physicist who had a large hand in the development of the atomic bombs that brought an end to World War II.","['Cillian Murphy', 'Emily Blunt', 'Matt Damon']",['Drama'],
tt0110912,Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']","['Crime', 'Drama']",
tt0114369,Seven,Two detectives try to track down a serial killer who chooses his victims based on the Seven Deadly Sins.,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey']","['Crime', 'Drama']",
tt38589464,Feel My Voice,"A teenager, the only hearing member of a deaf family, finds her voice and learns to believe in herself through her passion for singing.","['Sarah Toscano', 'Serena Rossi', 'Carola Insolera']",['Drama'],
tt0482571,The Prestige,"Two friends and fellow magicians become bitter enemies after a sudden tragedy. As they devote themselves to this rivalry, they make sacrifices that bring them fame but, with terrible consequ... Read all","['Christian Bale', 'Hugh Jackman', 'Scarlett Johansson']","['Drama', 'Sci-Fi']",
tt9340860,Let Him Go,"A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.","['Diane Lane', 'Kevin Costner', 'Kayli Carter']","['Crime', 'Drama']",
tt0137523,Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"['Brad Pitt', 'Edward Norton', 'Meat Loaf']","['Crime', 'Drama']",
tt31378509,Dune: Part Three,Emperor Paul Atreides faces the fallout from his ascent to power as political plots and a galaxy-wide holy war endanger the future only he can see.,"['Zendaya', 'Rebecca Ferguson', 'Robert Pattinson']","['Action', 'Drama', 'Sci-Fi']",
tt11152168,IF,A young girl who goes through a difficult experience begins to see everyone's imaginary friends who have been left behind as their real-life friends have grown up.,"['Cailey Fleming', 'Ryan Reynolds', 'John Krasinski']",['Drama'],
tt0361748,Inglourious Basterds,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","['Brad Pitt', 'Diane Kruger', 'Eli Roth']","['Adventure', 'Drama']",
tt6751668,Parasite,Greed and class discrimination threaten the newly formed symbiotic relationship between the wealthy Park family and the destitute Kim clan.,"['Song Kang-ho', 'Lee Sun-kyun', 'Cho Yeo-jeong']",['Drama'],
tt30343021,Song Sung Blue,"Lightning and Thunder, a Milwaukee husband and wife Neil Diamond tribute act, experience soaring success and devastating heartbreak in their musical journey together.","['Hugh Jackman', 'Kate Hudson', 'Ella Anderson']",['Drama'],
tt28083456,Is This Thing On?,"As their marriage unravels, Alex faces middle age and divorce, seeking new purpose in the New York comedy scene. Meanwhile, his wife Tess confronts sacrifices made for their family, forcing ... Read all","['Will Arnett', 'Laura Dern', 'Andra Day']",['Drama'],
tt14142060,Rental Family,"An American actor in Tokyo struggling to find purpose lands an unusual gig: working for a Japanese ""rental family"" agency, playing stand-in roles for strangers. He rediscovers purpose, belon... Read all","['Brendan Fraser', 'Takehiro Hira', 'Mari Yamamoto']",['Drama'],
tt0993846,The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']",[],
tt2582802,Whiplash,A promising young drummer enrolls at a cut-throat music conservatory where his dreams of greatness are mentored by an instructor who will stop at nothing to realize a student's potential.,"['Miles Teller', 'J.K. Simmons', 'Melissa Benoist']",['Drama'],
tt0407887,The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']","['Crime', 'Drama']",
tt0102926,The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn']","['Crime', 'Drama', 'Horror']",
tt0477348,No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']","['Crime', 'Drama']",
tt12908150,The Life of Chuck,"A life-affirming, genre-bending story about three chapters in the life of an ordinary man named Charles Krantz.","['Tom Hiddleston', 'Jacob Tremblay', 'Benjamin Pajak']","['Drama', 'Sci-Fi']",
tt34381258,Heel,"A 19-year-old criminal, Tommy, is kidnapped and forced into a rehabilitation process by a dysfunctional couple, Chris and Kathryn, who try to make him a ""good boy."" Tommy must find a way to ... Read all","['Stephen Graham', 'Andrea Riseborough', 'Anson Boon']","['Crime', 'Drama', 'Horror']",
tt24950660,Eternity,"In an afterlife where souls have one week to decide where to spend eternity, Joan is faced with the impossible choice between the man she spent her life with and her first love, who died you... Read all","['Miles Teller', 'Elizabeth Olsen', 'Callum Turner']",['Drama'],
tt1392214,Prisoners,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis']","['Crime', 'Drama']",
tt34819091,The Testament of Ann Lee,"Ann Lee, the founding leader of the Shaker Movement, is proclaimed as the female Christ by her followers. This film depicts her establishment of a utopian society and the Shakers' worship th... Read all","['Amanda Seyfried', 'Lewis Pullman', 'Thomasin McKenzie']",['Drama'],
tt15047880,Disclosure Day,"If you found out we weren't alone, if someone showed you, proved it to you, would that frighten you?","['Emily Blunt', ""Josh O'Connor"", 'Eve Hewson']","['Drama', 'Sci-Fi']",
tt27847051,The Secret Agent,"Amid the political turmoil of 1977 Brazil, a technology expert is forced into hiding and seeks help from the underground resistance as he tries to flee the country with his young son.","['Robson Andrade', 'Rubens Santos', 'Licínio Januário']","['Crime', 'Drama']",
tt0167260,The Lord of the Rings: The Return of the King,Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"['Elijah Wood', 'Viggo Mortensen', 'Ian McKellen']","['Adventure', 'Drama']",
tt0099685,GoodFellas,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","['Robert De Niro', 'Ray Liotta', 'Joe Pesci']","['Crime', 'Drama']",
tt32321317,Pillion,"A directionless man is swept off his feet when an enigmatic, impossibly handsome biker takes him on as his submissive.","['Harry Melling', 'Alexander Skarsgård', 'Douglas Hodge']",['Drama'],
tt20969586,Thunderbolts*,"After finding themselves ensnared in a death trap, an unconventional team of antiheroes must go on a dangerous mission that will force them to confront the darkest corners of their pasts.","['Florence Pugh', 'Sebastian Stan', 'Julia Louis-Dreyfus']",[],
tt0113277,Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']","['Action', 'Crime', 'Drama']",
tt17526714,The Substance,"A fading celebrity takes a black-market drug: a cell-replicating substance that helps her create a younger, better version of herself.","['Demi Moore', 'Margaret Qualley', 'Dennis Quaid']","['Drama', 'Horror', 'Sci-Fi']",
tt18382850,If I Had Legs I'd Kick You,"While trying to manage her own life and career, a woman on the verge of a breakdown must cope with her daughter's illness, an absent husband, a missing person, and an unusual relationship wi... Read all","['Rose Byrne', ""Conan O'Brien"", 'Danielle Macdonald']",['Drama'],
tt1130884,Shutter Island,Two US marshals are sent to a mental institution on an inhospitable island in order to investigate the disappearance of a patient.,"['Leonardo DiCaprio', 'Emily Mortimer', 'Mark Ruffalo']",['Drama'],
tt7131622,Once Upon a Time... in Hollywood,"As Hollywood's Golden Age is winding down during the summer of 1969, television actor Rick Dalton and his stunt double Cliff Booth endeavor to achieve lasting success in Hollywood while meet... Read all","['Leonardo DiCaprio', 'Brad Pitt', 'Margot Robbie']",['Drama'],
tt28607951,Anora,"A young stripper from Brooklyn meets and impulsively marries the son of a Russian oligarch. Once the news reaches Russia, her fairy tale is threatened as his parents set out for New York to ... Read all","['Mikey Madison', 'Paul Weissman', 'Lindsey Normington']",['Drama'],
tt1684562,The Fall Guy,"A stuntman, fresh off an almost career-ending accident, has to track down a missing movie star, solve a conspiracy and try to win back the love of his life while still doing his day job.","['Ryan Gosling', 'Emily Blunt', 'Aaron Taylor-Johnson']","['Action', 'Drama']",
tt0109830,Forrest Gump,"The history of the United States from the 1950s to the '70s unfolds from the perspective of an Alabama man with an IQ of 75, who yearns to be reunited with his childhood sweetheart.","['Tom Hanks', 'Robin Wright', 'Gary Sinise']",['Drama'],
tt31189814,Fuze,An unexploded WWII bomb is discovered on a busy construction site in the centre of London. Chaos ensues as the military and police begin a mass evacuation against a ticking clock.,"['Aaron Taylor-Johnson', 'Theo James', 'Sam Worthington']","['Action', 'Crime', 'Drama']",
tt0108052,Schindler's List,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","['Liam Neeson', 'Ralph Fiennes', 'Ben Kingsley']",['Drama'],
tt0052618,Ben-Hur,"A Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, but it's not long before he regains his freedom and comes back for revenge.","['Charlton Heston', 'Jack Hawkins', 'Stephen Boyd']","['Adventure', 'Drama']",
tt0332280,The Notebook,An elderly man reads to a woman with dementia the story of two young lovers whose romance is threatened by the difference in their respective social classes.,"['Gena Rowlands', 'James Garner', 'Rachel McAdams']",['Drama'],
tt1745960,Top Gun: Maverick,"The story involves Maverick confronting his past while training a group of younger Top Gun graduates, including the son of his deceased best friend, for a dangerous mission.","['Tom Cruise', 'Jennifer Connelly', 'Miles Teller']","['Action', 'Drama']",
tt0172495,Gladiator,A former Roman General sets out to exact vengeance against the corrupt emperor who murdered his family and sent him into slavery.,"['Russell Crowe', 'Joaquin Phoenix', 'Connie Nielsen']","['Action', 'Adventure', 'Drama']",
tt32192973,One Spoon of Chocolate,"An ex-military convict seeks a fresh start in a small town, but his past catches up as he finds love amid danger and chaos.","['Shameik Moore', 'RJ Cyler', 'Paris Jackson']","['Action', 'Drama']",
tt0049833,The Ten Commandments,"Moses, raised as a prince of Egypt in the Pharaoh's household, learns of his true heritage as a Hebrew and his divine mission as the deliverer of his people from slavery.","['Charlton Heston', 'Yul Brynner', 'Anne Baxter']","['Adventure', 'Drama']",
tt2543164,Arrival,"Linguist Louise Banks leads a team of investigators when gigantic spaceships touch down around the world. As nations teeter on the verge of global war, Banks and her crew must find a way to ... Read all","['Amy Adams', 'Jeremy Renner', 'Forest Whitaker']","['Drama', 'Sci-Fi']",
tt32376165,A House of Dynamite,"When a single, unattributed missile is launched at the United States, a race begins to determine who is responsible and how to respond.","['Idris Elba', 'Rebecca Ferguson', 'Gabriel Basso']",['Drama'],
tt1856101,Blade Runner 2049,"Young Blade Runner K's discovery of a long-buried secret leads him to track down former Blade Runner Rick Deckard, who's been missing for thirty years.","['Harrison Ford', 'Ryan Gosling', 'Ana de Armas']",['Action'],
tt9362736,Die My Love,"Grace, a writer and young mother, is suffering from post partum depression and slowly spiralling into madness. Moving into an old house with her husband, Jackson, her mind begins to unravel ... Read all","['Jennifer Lawrence', 'Robert Pattinson', 'Sissy Spacek']",['Drama'],
tt1921149,Trash,"Set in Brazil, three kids who make a discovery in a garbage dump soon find themselves running from the cops and trying to right a terrible wrong.","['Rickson Tevez', 'Gabriel Weinstein', 'Wagner Moura']","['Adventure', 'Crime', 'Drama']",
tt0050083,12 Angry Men,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']","['Crime', 'Drama']",
tt34610311,The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,"['Jackie Chan', 'Zifeng Zhang', 'Tony Ka Fai Leung']","['Action', 'Crime', 'Drama']",
tt3397884,Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"['Emily Blunt', 'Josh Brolin', 'Benicio Del Toro']","['Action', 'Crime', 'Drama']",
tt0120338,Titanic,"A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious, ill-fated R.M.S. Titanic.","['Leonardo DiCaprio', 'Kate Winslet', 'Billy Zane']",['Drama'],
tt2267998,Gone Girl,The husband of a missing woman becomes the main suspect in her disappearance.,"['Ben Affleck', 'Rosamund Pike', 'Neil Patrick Harris']",['Drama'],
tt0289043,28 Days Later,"Four weeks after a mysterious, incurable virus spreads throughout the United Kingdom, a handful of survivors try to find sanctuary.","['Cillian Murphy', 'Naomie Harris', 'Christopher Eccleston']",[],
tt7130300,The Woman in Cabin 10,A journalist stumbles upon a gruesome secret while traveling aboard a luxury cruise ship.,"['Keira Knightley', 'Guy Pearce', 'David Ajala']",['Drama'],
tt27681354,In the Grey,"A covert team of elite operatives are living in the shadows. When a ruthless despot steals a billion-dollar fortune, they're sent to take it back-an impossible heist that erupts into a deadl... Read all","['Jake Gyllenhaal', 'Henry Cavill', 'Eiza González']","['Action', 'Drama']",
tt0120689,The Green Mile,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']","['Crime', 'Drama']",
tt3783958,La La Land,"When Sebastian, a pianist, and Mia, an actress, follow their passion and achieve success in their respective fields, they find themselves torn between their love for each other and their car... Read all","['Ryan Gosling', 'Emma Stone', 'Rosemarie DeWitt']",['Drama'],
tt0209144,Memento,A former insurance investigator who now suffers from anterograde amnesia uses notes and tattoos to hunt down his wife's murderer.,"['Guy Pearce', 'Carrie-Anne Moss', 'Joe Pantoliano']",['Drama'],
tt11235772,The Voyeurs,"Pippa and Thomas move into their dream apartment, but notice that their windows look directly into the apartment opposite. This will set in motion a chain of events that will lead to disaste... Read all","['Sydney Sweeney', 'Justice Smith', 'Ben Hardy']",['Drama'],
tt1877830,The Batman,"When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement.","['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']","['Action', 'Crime']",
tt1853728,Django Unchained,"With the help of a German bounty-hunter, a freed slave sets out to rescue his wife from a brutal plantation owner in Mississippi.","['Jamie Foxx', 'Christoph Waltz', 'Leonardo DiCaprio']",['Drama'],
tt8946378,Knives Out,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investi... Read all","['Daniel Craig', 'Chris Evans', 'Ana de Armas']","['Crime', 'Drama']",
tt0114814,The Usual Suspects,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']","['Crime', 'Drama']",
tt0364569,Oldboy,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must track down his captor in five days.","['Choi Min-sik', 'Yoo Ji-tae', 'Kang Hye-jeong']","['Action', 'Drama']",
tt10886166,365 Days,"Massimo is a member of the Sicilian Mafia family and Laura is a sales director. She does not expect that on a trip to Sicily trying to save her relationship, Massimo will kidnap her and give... Read all","['Anna-Maria Sieklucka', 'Michele Morrone', 'Bronislaw Wroclawski']",['Drama'],
tt0120815,Saving Private Ryan,"Following the Normandy Landings, a group of U.S. soldiers go behind enemy lines to retrieve a paratrooper whose comrades have been killed in action.","['Tom Hanks', 'Matt Damon', 'Tom Sizemore']",['Drama'],
tt0119217,Good Will Hunting,"A therapist counsels Will Hunting, a janitor with a genius IQ.","['Robin Williams', 'Matt Damon', 'Ben Affleck']",['Drama'],
tt0372784,Batman Begins,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends... Read all","['Christian Bale', 'Michael Caine', 'Ken Watanabe']","['Action', 'Crime', 'Drama']",
tt2278388,The Grand Budapest Hotel,"A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","['Ralph Fiennes', 'F. Murray Abraham', 'Mathieu Amalric']",['Drama'],
tt0780504,Drive,A mysterious Hollywood action film stuntman gets in trouble with gangsters when he tries to help his neighbor's husband rob a pawn shop while serving as his getaway driver.,"['Ryan Gosling', 'Carey Mulligan', 'Bryan Cranston']","['Action', 'Drama']",
