Title,Description,Actors,Genre,poster_url
The Godfather,The aging patriarch of an organized crime dynasty transfers control of his clandestine empire to his reluctant son.,"['Marlon Brando', 'Al Pacino', 'James Caan']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BNGEwYjgwOGQtYjg5ZS00Njc1LTk2ZGEtM2QwZWQ2NjdhZTE5XkEyXkFqcGc@._V1_FMjpg_UY1982_.jpg
O' Romeo,"In post-independence Mumbai, the underworld rises amidst a changing city. This gritty tale explores the criminal landscape of a bygone era, weaving through the streets and shadows of India's... Read all","['Shahid Kapoor', 'Triptii Dimri', 'Avinash Tiwary']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BZWEzYTZiYWUtZDZiYy00MDM4LTk5OTUtMDgzODYxYWEyOGM3XkEyXkFqcGc@._V1_FMjpg_UY1621_.jpg
Roofman,"A charismatic criminal, while on the run from the police, hides in a hidden space of a toy store. There, he adopts a new identity and becomes involved with an employee, beginning a relations... Read all","['Channing Tatum', 'Kirsten Dunst', 'LaKeith Stanfield']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BODlhMzQ4NjktMjIyYS00ZDVlLTg5ZDItNDEyOWM3NDZlYjI1XkEyXkFqcGc@._V1_FMjpg_UY1600_.jpg
The Dark Knight,"When a menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman, James Gordon and Harvey Dent must work together to put an end to the madness.","['Christian Bale', 'Heath Ledger', 'Aaron Eckhart']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTMxNTMwODM0NF5BMl5BanBnXkFtZTcwODAyMTk2Mw@@._V1_FMjpg_UY2048_.jpg
Psycho Killer,"A police officer tracks a killer after her husband, a highway patrolman, becomes one of his victims.","['Georgina Campbell', 'James Preston Rogers', 'Malcolm McDowell']","['Crime', 'Drama', 'Horror']",https://m.media-amazon.com/images/M/MV5BNTBlYjBjZTItOGNkZC00OTc2LWE1YTAtMDJiOWQzNTIyMjY4XkEyXkFqcGc@._V1_FMjpg_UY3000_.jpg
No Other Choice,"After being fired, a man devises a unique plan to secure a new job: eliminate his competition.","['Lee Byung-hun', 'Son Ye-jin', 'Woo Seung Kim']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMzUyYzMyZTEtMDM0Zi00NTJmLTkyMDctMjBmOWRiNGI4ZTRhXkEyXkFqcGc@._V1_FMjpg_UY1290_.jpg
Caught Stealing,"When his neighbor asks him to take care of his cat, a former baseball prodigy now working as a bartender finds himself in the middle of gangsters without knowing why. He must use all his cun... Read all","['Austin Butler', 'Regina King', 'Zoë Kravitz']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BYTk0YTIyYmMtMTJjOC00NmNiLTkxMTktYTU0ZDFhNjJlMTJiXkEyXkFqcGc@._V1_FMjpg_UY1350_.jpg
Normal,Centers on a temporary small-town sheriff who uncovers dark mysteries after a local bank robbery.,"['Bob Odenkirk', 'Ryan Allen', 'Billy MacLellan']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BNWZiOGEwZDQtYzE4OS00NDE0LWI3NzktODY1YzhmZjZiMjlhXkEyXkFqcGc@._V1_FMjpg_UY1499_.jpg
Pulp Fiction,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","['John Travolta', 'Uma Thurman', 'Samuel L. Jackson']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BYTViYTE3ZGQtNDBlMC00ZTAyLTkyODMtZGRiZDg0MjA2YThkXkEyXkFqcGc@._V1_FMjpg_UY1536_.jpg
Seven,Two detectives try to track down a serial killer who chooses his victims based on the Seven Deadly Sins.,"['Morgan Freeman', 'Brad Pitt', 'Kevin Spacey']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BY2IzNzMxZjctZjUxZi00YzAxLTk3ZjMtODFjODdhMDU5NDM1XkEyXkFqcGc@._V1_FMjpg_UY2815_.jpg
Striking Distance,"Coming from a police family, Tom Hardy ends up fighting his uncle after the murder of his father. Tom believes the killer is another cop and goes on the record with his allegations. Demoted ... Read all","['Bruce Willis', 'Sarah Jessica Parker', 'Dennis Farina']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BNGFkNzQyM2YtNWQyMi00NGY1LWJmOGYtMzg2ZGJmM2RlNGNiXkEyXkFqcGc@._V1_FMjpg_UY2265_.jpg
Let Him Go,"A retired sheriff and his wife, grieving over the death of their son, set out to find their only grandson.","['Diane Lane', 'Kevin Costner', 'Kayli Carter']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BNzU0MTU0M2MtY2ViZC00MjI3LWIwNjAtOTBiMGMzZmU0NjgxXkEyXkFqcGc@._V1_FMjpg_UY529_.jpg
Fight Club,An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,"['Brad Pitt', 'Edward Norton', 'Meat Loaf']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BOTgyOGQ1NDItNGU3Ny00MjU3LTg2YWEtNmEyYjBiMjI1Y2M5XkEyXkFqcGc@._V1_FMjpg_UY1600_.jpg
Now You See Me: Now You Don't,The Four Horsemen reunite and team up with a new generation of young illusionists to expose a diamond heiress's global money laundering scheme for criminals.,"['Jesse Eisenberg', 'Woody Harrelson', 'Dave Franco']",['Crime'],https://m.media-amazon.com/images/M/MV5BM2Y1NjRlNDctM2Q5YS00OGMwLWEyMzYtYzFkNTc4NjZlM2MzXkEyXkFqcGc@._V1_FMjpg_UX2160_.jpg
Humint,An espionage action film depicting North and South Korean secret agents clashing while investigating crimes occurring on the Vladivostok border.,"['Zo In-sung', 'Park Jeong-min', 'Park Hae-joon']","['Action', 'Adventure', 'Crime']",https://m.media-amazon.com/images/M/MV5BYzYxYWFhOGMtNWQ1NS00YTM1LTlkOTktNTMzOTIzZWM5ZmFkXkEyXkFqcGc@._V1_FMjpg_UY2143_.jpg
The Wolf of Wall Street,"Based on the true story of Jordan Belfort, from his rise to a wealthy stock-broker living the high life to his fall involving crime, corruption and the federal government.","['Leonardo DiCaprio', 'Jonah Hill', 'Margot Robbie']",[],https://m.media-amazon.com/images/M/MV5BMjIxMjgxNTk0MF5BMl5BanBnXkFtZTgwNjIyOTg2MDE@._V1_FMjpg_UY2048_.jpg
The Departed,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,"['Leonardo DiCaprio', 'Matt Damon', 'Jack Nicholson']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTI1MTY2OTIxNV5BMl5BanBnXkFtZTYwNjQ4NjY3._V1_FMjpg_UY665_.jpg
The Silence of the Lambs,"A young F.B.I. cadet must receive the help of an incarcerated and manipulative cannibal killer to help catch another serial killer, a madman who skins his victims.","['Jodie Foster', 'Anthony Hopkins', 'Scott Glenn']","['Crime', 'Drama', 'Horror']",https://m.media-amazon.com/images/M/MV5BNDdhOGJhYzctYzYwZC00YmI2LWI0MjctYjg4ODdlMDExYjBlXkEyXkFqcGc@._V1_FMjpg_UY2968_.jpg
No Country for Old Men,Violence and mayhem ensue after a hunter stumbles upon the aftermath of a drug deal gone wrong and over two million dollars in cash near the Rio Grande.,"['Tommy Lee Jones', 'Javier Bardem', 'Josh Brolin']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMjA5Njk3MjM4OV5BMl5BanBnXkFtZTcwMTc5MTE1MQ@@._V1_FMjpg_UY817_.jpg
Heel,"A 19-year-old criminal, Tommy, is kidnapped and forced into a rehabilitation process by a dysfunctional couple, Chris and Kathryn, who try to make him a ""good boy."" Tommy must find a way to ... Read all","['Stephen Graham', 'Andrea Riseborough', 'Anson Boon']","['Crime', 'Drama', 'Horror']",https://m.media-amazon.com/images/M/MV5BNDMyOTU4ZTktMGJmYy00NDVjLTgzN2ItMDY0ZTZjNDY5OThiXkEyXkFqcGc@._V1_FMjpg_UX2160_.jpg
Prisoners,A desperate father takes the law into his own hands after police fail to find two kidnapped girls.,"['Hugh Jackman', 'Jake Gyllenhaal', 'Viola Davis']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTg0NTIzMjQ1NV5BMl5BanBnXkFtZTcwNDc3MzM5OQ@@._V1_FMjpg_UY2048_.jpg
The Wrecking Crew,"Estranged half-brothers Jonny and James reunite after their father's mysterious death. As they search for the truth, buried secrets reveal a conspiracy threatening to tear their family apart... Read all","['Dave Bautista', 'Jason Momoa', 'Temuera Morrison']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BYWIxNjdlYTAtMWEzNS00YTY4LTljYjQtMGU0MDY2NmZmZTZiXkEyXkFqcGc@._V1_FMjpg_UX2160_.jpg
The Secret Agent,"Amid the political turmoil of 1977 Brazil, a technology expert is forced into hiding and seeks help from the underground resistance as he tries to flee the country with his young son.","['Robson Andrade', 'Rubens Santos', 'Licínio Januário']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BNDlkMzNhYzgtNTk1Yi00M2I1LTlkOTMtY2RmZGU3YzVmMzE2XkEyXkFqcGc@._V1_FMjpg_UY2048_.jpg
GoodFellas,"The story of Henry Hill and his life in the mafia, covering his relationship with his wife Karen and his mob partners Jimmy Conway and Tommy DeVito.","['Robert De Niro', 'Ray Liotta', 'Joe Pesci']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BN2E5NzI2ZGMtY2VjNi00YTRjLWI1MDUtZGY5OWU1MWJjZjRjXkEyXkFqcGc@._V1_FMjpg_UY2972_.jpg
Thunderbolts*,"After finding themselves ensnared in a death trap, an unconventional team of antiheroes must go on a dangerous mission that will force them to confront the darkest corners of their pasts.","['Florence Pugh', 'Sebastian Stan', 'Julia Louis-Dreyfus']",[],https://m.media-amazon.com/images/M/MV5BYWE2NmNmYTItZGY0ZC00MmY2LTk1NDAtMGUyMGEzMjcxNWM0XkEyXkFqcGc@._V1_FMjpg_UY2818_.jpg
Heat,A group of high-end professional thieves start to feel the heat from the LAPD when they unknowingly leave a verbal clue at their latest heist.,"['Al Pacino', 'Robert De Niro', 'Val Kilmer']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTkxYjU1OTMtYWViZC00ZjAzLWI3MDktZGQ2N2VmMjVjNDRlXkEyXkFqcGc@._V1_FMjpg_UY2956_.jpg
Nobody 2,"Suburban dad Hutch Mansell, a former lethal assassin, is pulled back into his violent past after thwarting a home invasion, setting off a chain of events.","['Bob Odenkirk', 'Connie Nielsen', 'Christopher Lloyd']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BZWYzNGUzNWUtMGRhMy00ODU3LTliZWEtNzA1ODBmNDM3ODk3XkEyXkFqcGc@._V1_FMjpg_UY1350_.jpg
Fuze,An unexploded WWII bomb is discovered on a busy construction site in the centre of London. Chaos ensues as the military and police begin a mass evacuation against a ticking clock.,"['Aaron Taylor-Johnson', 'Theo James', 'Sam Worthington']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMmU3M2IzM2EtNTBhMC00MGU5LWFmMmMtYjA1NmI4YWE1OWNkXkEyXkFqcGc@._V1_FMjpg_UY5357_.jpg
Vadh 2,"A prison guard and inmate form an unlikely bond. When faced with a moral dilemma where truth remains hidden, they must make a choice with lasting consequences.","['Sanjay Mishra', 'Neena Gupta', 'Kumud Mishra']",['Crime'],https://m.media-amazon.com/images/M/MV5BOWFjZTg5MzItMWFmNC00ZWQ5LWFlZDgtODdkMjA1NDlkOGM3XkEyXkFqcGc@._V1_FMjpg_UY1440_.jpg
Trash,"Set in Brazil, three kids who make a discovery in a garbage dump soon find themselves running from the cops and trying to right a terrible wrong.","['Rickson Tevez', 'Gabriel Weinstein', 'Wagner Moura']","['Adventure', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BODVkMWNiMGItMTg1ZS00YWM1LWI2YzctOTY2MmExYjQxZTM5XkEyXkFqcGc@._V1_FMjpg_UY720_.jpg
12 Angry Men,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"['Henry Fonda', 'Lee J. Cobb', 'Martin Balsam']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BYjE4NzdmOTYtYjc5Yi00YzBiLWEzNDEtNTgxZGQ2MWVkN2NiXkEyXkFqcGc@._V1_FMjpg_UY1500_.jpg
The Shadow's Edge,Macau Police brings the tracking expert police officer out of retirement to help catch a dangerous group of professional thieves.,"['Jackie Chan', 'Zifeng Zhang', 'Tony Ka Fai Leung']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BYjk2Yzk2NjgtYTZkYi00NjZjLTllMGMtZmI2ZThlM2JlMjNiXkEyXkFqcGc@._V1_FMjpg_UY1080_.jpg
Sicario,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"['Emily Blunt', 'Josh Brolin', 'Benicio Del Toro']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMjA5NjM3NTk1M15BMl5BanBnXkFtZTgwMzg1MzU2NjE@._V1_FMjpg_UY2048_.jpg
Zootopia,"In a city of anthropomorphic animals, a rookie bunny cop and a cynical con artist fox must work together to uncover a conspiracy.","['Ginnifer Goodwin', 'Jason Bateman', 'Idris Elba']","['Action', 'Adventure']",https://m.media-amazon.com/images/M/MV5BOTMyMjEyNzIzMV5BMl5BanBnXkFtZTgwNzIyNjU0NzE@._V1_FMjpg_UY1600_.jpg
The Green Mile,A death row guard learns that a gentle giant in his charge possesses a mysterious gift.,"['Tom Hanks', 'Michael Clarke Duncan', 'David Morse']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BNTEyY2E4OGItZGE4Yy00OTI1LThmMWMtNDIyMmY3YzU0MGY0XkEyXkFqcGc@._V1_FMjpg_UY1190_.jpg
The Batman,"When a sadistic serial killer begins murdering key political figures in Gotham, the Batman is forced to investigate the city's hidden corruption and question his family's involvement.","['Robert Pattinson', 'Zoë Kravitz', 'Jeffrey Wright']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BMmU5NGJlMzAtMGNmOC00YjJjLTgyMzUtNjAyYmE4Njg5YWMyXkEyXkFqcGc@._V1_FMjpg_UY4096_.jpg
Knives Out,"When renowned crime novelist Harlan Thrombey is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc is mysteriously enlisted to investi... Read all","['Daniel Craig', 'Chris Evans', 'Ana de Armas']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BZDU5ZTRkYmItZjg0Mi00ZTQwLThjMWItNWM3MTMxMzVjZmVjXkEyXkFqcGc@._V1_FMjpg_UY2880_.jpg
The Usual Suspects,The sole survivor of a pier shoot-out tells the story of how a notorious criminal influenced the events that began with five criminals meeting in a seemingly random police lineup.,"['Kevin Spacey', 'Gabriel Byrne', 'Chazz Palminteri']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BYWVhOTM5MjgtY2M0MS00M2ZjLTgzOGQtZjA0NDgzMGY5YjkzXkEyXkFqcGc@._V1_FMjpg_UY1086_.jpg
The Nice Guys,"In 1970s Los Angeles, a mismatched pair of private eyes investigate a missing girl and the mysterious death of a porn star.","['Russell Crowe', 'Ryan Gosling', 'Angourie Rice']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BM2YwNWZlZGEtYTEyZi00NjdjLWEwM2ItM2Q2MDMwZjkzMjk0XkEyXkFqcGc@._V1_FMjpg_UY1500_.jpg
Balls Up,"Two marketers pitch a bold new condom World Cup sponsorship. After a booze-fueled scandal, they must outrun chaos to survive.","['Mark Wahlberg', 'Paul Walter Hauser', 'Sacha Baron Cohen']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BZDZlMmExMDctMWU0Ni00ZDg2LWI0YTAtZjAwMTQ5NzdhYzk5XkEyXkFqcGc@._V1_FMjpg_UY3900_.jpg
Batman Begins,"After witnessing his parents' death, billionaire Bruce Wayne learns the art of fighting to confront injustice. When he returns to Gotham as Batman, he must stop a secret society that intends... Read all","['Christian Bale', 'Michael Caine', 'Ken Watanabe']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMzA2NDQzZDEtNDU5Ni00YTlkLTg2OWEtYmQwM2Y1YTBjMjFjXkEyXkFqcGc@._V1_FMjpg_UY1500_.jpg
City of God,"In the slums of Rio, two kids' paths diverge as one struggles to become a photographer and the other a kingpin.","['Alexandre Rodrigues', 'Leandro Firmino', 'Matheus Nachtergaele']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BYWJhZjVmN2QtMzdmMi00ZThjLThkODEtOTkwNGI4ZmNkOWVkXkEyXkFqcGc@._V1_FMjpg_UY2362_.jpg
The Stranger,"In 1930s Algeria, the daily life of an indifferent Frenchman is shaken by the death of his mother and a fateful encounter on a beach.","['Benjamin Voisin', 'Rebecca Marder', 'Pierre Lottin']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BN2JhZDdmZmUtYzcyYi00Mzc4LWI0Y2EtOTYzNzcyYzc1MTgzXkEyXkFqcGc@._V1_FMjpg_UY6000_.jpg
The Thursday Murder Club,"Four irrepressible retirees spend their time solving cold case murders for fun, but their casual sleuthing takes a thrilling turn when they find themselves with a real whodunit on their hand... Read all","['Helen Mirren', 'Pierce Brosnan', 'Ben Kingsley']",['Crime'],https://m.media-amazon.com/images/M/MV5BYzk0ZDgzODQtNDM0Ny00ZGI3LWE5NjYtNjE0OWNlOTMxMDk5XkEyXkFqcGc@._V1_FMjpg_UX2160_.jpg
Catch Me If You Can,"Barely 17 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","['Leonardo DiCaprio', 'Tom Hanks', 'Christopher Walken']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTY5MzYzNjc5NV5BMl5BanBnXkFtZTYwNTUyNTc2._V1_FMjpg_UY719_.jpg
Suspect Zero,A mysterious serial killer is preying on other serial killers and one FBI agent suspects there may be more to the vigilante than the obvious characteristics.,"['Aaron Eckhart', 'Ben Kingsley', 'Carrie-Anne Moss']","['Crime', 'Horror']",https://m.media-amazon.com/images/M/MV5BZWI3MjVlYjktMmM3ZC00YWZjLTgyYmQtOGMyOTJjMzgxNTk0XkEyXkFqcGc@._V1_FMjpg_UY1077_.jpg
The Dark Knight Rises,"Bane, an imposing terrorist, attacks Gotham City and disrupts its eight-year-long period of peace. This forces Bruce Wayne to come out of hiding and don the cape and cowl of Batman again.","['Christian Bale', 'Tom Hardy', 'Anne Hathaway']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMTk4ODQzNDY3Ml5BMl5BanBnXkFtZTcwODA0NTM4Nw@@._V1_FMjpg_UY720_.jpg
Léon: The Professional,"When her family is murdered by a group of corrupt officers led by the tyrannical Norman Stansfield, a young 12-year-old girl enlists the help of an Italian-American hitman to seek revenge.","['Jean Reno', 'Gary Oldman', 'Natalie Portman']","['Action', 'Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BNGRkYTNhOWQtYmI0Ni00MjZhLWJmMzAtMTA2Mjg4NGNiNDU0XkEyXkFqcGc@._V1_FMjpg_UY2898_.jpg
The Naked Gun,"Following in his father's footsteps, a detective works to solve a murder case and save his police department from closure.","['Liam Neeson', 'Pamela Anderson', 'Paul Walter Hauser']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BZGY2Nzc4ZjYtZDBjOS00ZWJmLTk1MjctNGJhOTE1NTQ0Y2E2XkEyXkFqcGc@._V1_FMjpg_UY1600_.jpg
Redux Redux,"Irene Kelly travels through parallel universes, repeatedly killing her daughter's murderer. As she becomes consumed by vengeance, her humanity hangs in the balance.","['Michaela McManus', 'Stella Marcus', 'Jeremy Holm']","['Action', 'Adventure', 'Crime', 'Drama', 'Horror', 'Sci-Fi']",https://m.media-amazon.com/images/M/MV5BMGQwMTIzMmMtNThlYy00ZmNlLThlOTctYzA0OTA1N2VhZDc4XkEyXkFqcGc@._V1_FMjpg_UY1500_.jpg
"Three Billboards Outside Ebbing, Missouri",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"['Frances McDormand', 'Woody Harrelson', 'Sam Rockwell']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMjI0ODcxNzM1N15BMl5BanBnXkFtZTgwMzIwMTEwNDI@._V1_FMjpg_UY1500_.jpg
Kill Bill: Vol. 1,"After waking from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","['Uma Thurman', 'David Carradine', 'Daryl Hannah']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BYzIxM2NiNmItNzQ2Ny00YzRhLWE4ZmItZWFjOWQ2ZTI5YzVhXkEyXkFqcGc@._V1_FMjpg_UX1200_.jpg
The Truth and Tragedy of Moriah Wilson,"An intimate portrait of cyclist Moriah Wilson, raised by a fierce, loving family, whose singular drive propelled her to athletic brilliance before her life was tragically cut short by murder... Read all","['Moriah Wilson', 'Caitlin Cash', 'Karen Wilson']",['Crime'],https://m.media-amazon.com/images/M/MV5BYjg1N2EzOTEtYWE3MC00NTgxLTk0YjItZDhkZGFmOWE5NTJhXkEyXkFqcGc@._V1_FMjpg_UX2160_.jpg
Kill Bill: The Whole Bloody Affair,"A female assassin seeks revenge on her former lover and squad members, all of whom left her for dead.","['Vivica A. Fox', 'Ambrosia Kelley', 'Michael Parks']","['Action', 'Crime']",https://m.media-amazon.com/images/M/MV5BZDc2YzhkODAtZmRmZS00YzcxLWJkYWEtM2ZhZjY3MmMyZmJiXkEyXkFqcGc@._V1_FMjpg_UY3000_.jpg
Legend,Identical twin gangsters Ronald and Reginald Kray terrorize London during the 1960s.,"['Tom Hardy', 'Emily Browning', 'Taron Egerton']","['Crime', 'Drama']",https://m.media-amazon.com/images/M/MV5BMjE0MjkyODQ3NF5BMl5BanBnXkFtZTgwNDM1OTk1NjE@._V1_FMjpg_UY2100_.jpg
