image_path,target
classifier_dataset/train\Cardboard\0-28_jpg.rf.c0afc0fab7ee9b10bcb084f3e50a288d_2670.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.c0afc0fab7ee9b10bcb084f3e50a288d_2671.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.c0afc0fab7ee9b10bcb084f3e50a288d_2672.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.c0afc0fab7ee9b10bcb084f3e50a288d_2673.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.c0afc0fab7ee9b10bcb084f3e50a288d_2686.jpg,1
classifier_dataset/train\Cardboard\0-28_jpg.rf.c0afc0fab7ee9b10bcb084f3e50a288d_2687.jpg,1
classifier_dataset/train\Cardboard\0-33_jpg.rf.1e3a7608808f545927bb73d53c48b1ca_3988.jpg,1
classifier_dataset/train\Cardboard\0-33_jpg.rf.1e3a7608808f545927bb73d53c48b1ca_3990.jpg,1
classifier_dataset/train\Cardboard\0-33_jpg.rf.44c32d03629badc115dcd4834ec210e1_6421.jpg,1
classifier_dataset/train\Cardboard\0-33_jpg.rf.44c32d03629badc115dcd4834ec210e1_6423.jpg,1
classifier_dataset/train\Cardboard\0-33_jpg.rf.6a2b491c455d2c9301fd5579e82949e6_8762.jpg,1
classifier_dataset/train\Cardboard\0-33_jpg.rf.6a2b491c455d2c9301fd5579e82949e6_8764.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3277.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3278.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3279.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3280.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3281.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3282.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3283.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3284.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3285.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3286.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3287.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3288.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3289.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3290.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.3d7aed633328207c827a4c6eb758dec9_3291.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10050.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10051.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10052.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10053.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10054.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10055.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10056.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10057.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10058.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10059.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10060.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10061.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10062.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10063.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.c55c2a780470fa058b27afef59df1a1c_10064.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7679.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7680.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7681.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7682.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7683.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7684.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7685.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7686.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7687.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7688.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7689.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7690.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7691.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7692.jpg,1
classifier_dataset/train\Cardboard\0-41_jpg.rf.e0653dbfaac77c484ddcde747dd18233_7693.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11398.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11399.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11400.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11401.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11402.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11403.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11404.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11405.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11406.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11407.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11408.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11409.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11410.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11411.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11412.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11413.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11414.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11415.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11416.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11417.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11418.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11419.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11420.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11421.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11422.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11423.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11424.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.3cadeb3525015efb6e888049517babb6_11425.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5308.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5309.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5310.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5311.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5312.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5313.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5314.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5315.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5316.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5317.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5318.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5319.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5320.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5321.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5322.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5323.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5324.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5325.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5326.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5327.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5328.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5329.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5330.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5331.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5332.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5333.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5334.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.c6f325e1b20cb3491e485eaa75f9f375_5335.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11270.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11271.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11272.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11273.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11274.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11275.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11276.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11277.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11278.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11279.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11280.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11281.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11282.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11283.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11284.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11285.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11286.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11287.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11288.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11289.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11290.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11291.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11292.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11293.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11294.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11295.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11296.jpg,1
classifier_dataset/train\Cardboard\0-44_jpg.rf.e51360b8b6dd649ab02730180b7fa398_11297.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.500febcfdc105082b55d895720f3a9ef_6308.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.500febcfdc105082b55d895720f3a9ef_6309.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.500febcfdc105082b55d895720f3a9ef_6310.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.500febcfdc105082b55d895720f3a9ef_6311.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.500febcfdc105082b55d895720f3a9ef_6314.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.ab9c39a5530472955e7a52261ebfcad8_7284.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.ab9c39a5530472955e7a52261ebfcad8_7285.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.ab9c39a5530472955e7a52261ebfcad8_7286.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.ab9c39a5530472955e7a52261ebfcad8_7287.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.ab9c39a5530472955e7a52261ebfcad8_7290.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.d9cbaaf1aff8ddd65d782f012ab55b78_1155.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.d9cbaaf1aff8ddd65d782f012ab55b78_1156.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.d9cbaaf1aff8ddd65d782f012ab55b78_1157.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.d9cbaaf1aff8ddd65d782f012ab55b78_1158.jpg,1
classifier_dataset/train\Cardboard\0-46_jpg.rf.d9cbaaf1aff8ddd65d782f012ab55b78_1161.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5430.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5431.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5432.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5433.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5434.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5435.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5436.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5437.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5438.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5439.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5440.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5441.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5442.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5443.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5444.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5445.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.35e1fd76ece017af11186a9cb9fd2d59_5446.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1259.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1260.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1261.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1262.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1263.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1264.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1265.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1266.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1267.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1268.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1269.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1270.jpg,1
classifier_dataset/train\Cardboard\0-55_jpg.rf.6240927d28fcefc128304526c4912a8c_1271.jpg,1
